secid,ticker,exercise_style,date,close,rate,exdate,last_date,cp_flag,strike_price,best_bid,best_offer,volume,open_interest
121812,GOOG,A,6/22/07,524.98,0,8/18/07,6/21/07,C,360000,167.3,168.2,0,40
121812,GOOG,A,6/22/07,524.98,0,8/18/07,6/22/07,P,360000,0,0.1,100,0
121812,GOOG,A,6/22/07,524.98,0,8/18/07,6/21/07,C,370000,157.4,158.4,0,34
121812,GOOG,A,6/22/07,524.98,0,8/18/07,6/22/07,P,370000,0,0.1,20,64
121812,GOOG,A,6/22/07,524.98,0,8/18/07,6/22/07,C,380000,147.7,148.5,10,20
121812,GOOG,A,6/22/07,524.98,0,8/18/07,6/22/07,P,380000,0.05,0.15,20,32
121812,GOOG,A,6/22/07,524.98,0,8/18/07,6/22/07,C,390000,137.7,138.6,20,19
121812,GOOG,A,6/22/07,524.98,0,8/18/07,6/22/07,P,390000,0.1,0.2,10,49
121812,GOOG,A,6/22/07,524.98,0,8/18/07,6/22/07,C,400000,127.9,128.9,5,21
121812,GOOG,A,6/22/07,524.98,0,8/18/07,6/22/07,P,400000,0.15,0.25,90,88
121812,GOOG,A,6/22/07,524.98,0,8/18/07,6/22/07,C,410000,118.1,119,20,80
121812,GOOG,A,6/22/07,524.98,0,8/18/07,6/22/07,P,410000,0.3,0.4,10,151
121812,GOOG,A,6/22/07,524.98,0,8/18/07,6/22/07,C,420000,108.4,109.3,10,78
121812,GOOG,A,6/22/07,524.98,0,8/18/07,6/22/07,P,420000,0.45,0.55,90,179
121812,GOOG,A,6/22/07,524.98,0,8/18/07,6/22/07,C,430000,98.7,99.6,23,54
121812,GOOG,A,6/22/07,524.98,0,8/18/07,6/22/07,P,430000,0.7,0.85,55,109
121812,GOOG,A,6/22/07,524.98,0,8/18/07,6/22/07,C,440000,89.2,90,30,45
121812,GOOG,A,6/22/07,524.98,0,8/18/07,6/22/07,P,440000,1.05,1.2,61,151
121812,GOOG,A,6/22/07,524.98,0,8/18/07,6/22/07,C,450000,79.8,80.7,13,82
121812,GOOG,A,6/22/07,524.98,0,8/18/07,6/22/07,P,450000,1.6,1.8,103,253
121812,GOOG,A,6/22/07,524.98,0,8/18/07,6/22/07,C,460000,70.6,71.5,20,147
121812,GOOG,A,6/22/07,524.98,0,8/18/07,6/22/07,P,460000,2.4,2.6,26,235
121812,GOOG,A,6/22/07,524.98,0,8/18/07,6/22/07,C,470000,62,62.6,40,98
121812,GOOG,A,6/22/07,524.98,0,8/18/07,6/22/07,P,470000,3.5,3.7,203,254
121812,GOOG,A,6/22/07,524.98,0,8/18/07,6/22/07,C,480000,53.6,54.2,58,84
121812,GOOG,A,6/22/07,524.98,0,8/18/07,6/22/07,P,480000,4.9,5.2,189,349
121812,GOOG,A,6/22/07,524.98,0,8/18/07,6/22/07,C,490000,45.7,46.2,74,160
121812,GOOG,A,6/22/07,524.98,0,8/18/07,6/22/07,P,490000,6.9,7.2,344,423
121812,GOOG,A,6/22/07,524.98,0,8/18/07,6/22/07,C,500000,38.3,38.5,209,150
121812,GOOG,A,6/22/07,524.98,0,8/18/07,6/22/07,P,500000,9.5,9.7,166,413
121812,GOOG,A,6/22/07,524.98,0,8/18/07,6/22/07,C,510000,31.6,32,330,667
121812,GOOG,A,6/22/07,524.98,0,8/18/07,6/22/07,P,510000,12.8,13,410,564
121812,GOOG,A,6/22/07,524.98,0,8/18/07,6/22/07,C,520000,25.6,26,437,424
121812,GOOG,A,6/22/07,524.98,0,8/18/07,6/22/07,P,520000,16.7,17,572,506
121812,GOOG,A,6/22/07,524.98,0,8/18/07,6/22/07,C,530000,20.3,20.6,361,509
121812,GOOG,A,6/22/07,524.98,0,8/18/07,6/22/07,P,530000,21.5,21.8,371,393
121812,GOOG,A,6/22/07,524.98,0,8/18/07,6/22/07,C,540000,15.9,16.2,475,525
121812,GOOG,A,6/22/07,524.98,0,8/18/07,6/22/07,P,540000,27,27.5,247,305
121812,GOOG,A,6/22/07,524.98,0,8/18/07,6/22/07,C,550000,12.2,12.5,759,607
121812,GOOG,A,6/22/07,524.98,0,8/18/07,6/22/07,P,550000,33.4,33.8,94,121
121812,GOOG,A,6/22/07,524.98,0,8/18/07,6/22/07,C,560000,9.1,9.4,118,160
121812,GOOG,A,6/22/07,524.98,0,8/18/07,6/22/07,P,560000,40.5,41,77,63
121812,GOOG,A,6/22/07,524.98,0,8/18/07,6/22/07,C,570000,6.7,7,95,214
121812,GOOG,A,6/22/07,524.98,0,8/18/07,6/22/07,P,570000,48.2,48.8,49,25
121812,GOOG,A,6/22/07,524.98,0,8/18/07,6/22/07,C,580000,4.9,5.1,220,184
121812,GOOG,A,6/22/07,524.98,0,8/18/07,6/22/07,P,580000,56.7,57.3,13,30
121812,GOOG,A,6/22/07,524.98,0,8/18/07,6/22/07,C,590000,3.5,3.7,611,154
